No. Voucher,Tanggal+Account,Keterangan,Debet,Kredit,Divisi
*K1-01/KK,20140102500.115,b.tiket plm-cgk: 2 org (7/12/13-conoco),2257800.00,0.00,SEKRET
*K1-01/KK,20140102110.101,b.tiket plm-cgk: 2 org (7/12/13-conoco),0.00,2257800.00,SEKRET
*K1-01/KK,20140102500.126,"b.kompresor ac-1,5pk & isi freon : r-sek",1980000.00,0.00,SEKRET
*K1-01/KK,20140102110.101,"b.kompresor ac-1,5pk & isi freon : r-sek",0.00,1980000.00,SEKRET
*K1-01/KK,20140102500.110,b.perangko u/.s-jad.pelatihan 2014,625000.00,0.00,SEKRET
*K1-01/KK,20140102110.101,b.perangko u/.s-jad.pelatihan 2014,0.00,625000.00,SEKRET
*K1-01/KK,20140102500.106,"bensin,parkir ke gramedia : rahmad",27000.00,0.00,SEKRET
*K1-01/KK,20140102110.101,"bensin,parkir ke gramedia : rahmad",0.00,27000.00,SEKRET
*K1-01/KK,20140102500.129,"b.rantai besi,dll u/.pintu r-sekrt.bwh",52000.00,0.00,SEKRET
*K1-01/KK,20140102110.101,"b.rantai besi,dll u/.pintu r-sekrt.bwh",0.00,52000.00,SEKRET
*K1-01/KK,20140102500.129,"b.handsoap,daia,kanebo,dll",160100.00,0.00,SEKRET
*K1-01/KK,20140102110.101,"b.handsoap,daia,kanebo,dll",0.00,160100.00,SEKRET
 K1-02/KK,20140103500.139,iuran dana pensiun karyawan-januari 2014,2000000.00,0.00,SEKRET
 K1-02/KK,20140103110.101,iuran dana pensiun karyawan-januari 2014,0.00,2000000.00,SEKRET
 K1-02/KK,20140103500.129,iuran sampah desember 2013,160000.00,0.00,SEKRET
 K1-02/KK,20140103110.101,iuran sampah desember 2013,0.00,160000.00,SEKRET
 K1-02/KK,20140103500.110,b.perangko u/.s-jad.pelatihan 2014,690000.00,0.00,SEKRET
 K1-02/KK,20140103110.101,b.perangko u/.s-jad.pelatihan 2014,0.00,690000.00,SEKRET
 K1-02/KK,20140103500.129,b.dak solid u/.r-sekrt.bawah,34000.00,0.00,SEKRET
